ds,y
2019-01-06,65
2019-01-13,78
2019-01-20,90
2019-01-27,61
2019-02-03,69
2019-02-10,100
2019-02-17,73
2019-02-24,55
2019-03-03,83
2019-03-10,77
2019-03-17,97
2019-03-24,80
2019-03-31,88
2019-04-07,77
2019-04-14,67
2019-04-21,83
2019-04-28,84
2019-05-05,77
2019-05-12,80
2019-05-19,75
2019-05-26,64
2019-06-02,80
2019-06-09,95
2019-06-16,77
2019-06-23,68
2019-06-30,97
2019-07-07,55
2019-07-14,62
2019-07-21,66
2019-07-28,67
2019-08-04,56
2019-08-11,71
2019-08-18,57
2019-08-25,74
2019-09-01,54
2019-09-08,75
2019-09-15,66
2019-09-22,69
2019-09-29,68
2019-10-06,75
2019-10-13,85
2019-10-20,72
2019-10-27,53
2019-11-03,68
2019-11-10,64
2019-11-17,74
2019-11-24,76
2019-12-01,59
2019-12-08,64
2019-12-15,59
2019-12-22,69
2019-12-29,76
